date_key,date,is_holiday,holiday_name,holiday_category
19890504,1989-05-04,True,休日,国民の祝日
19890505,1989-05-05,True,こどもの日,国民の祝日
19890915,1989-09-15,True,敬老の日,国民の祝日
19890923,1989-09-23,True,秋分の日,国民の祝日
19891010,1989-10-10,True,体育の日,国民の祝日
19891103,1989-11-03,True,文化の日,国民の祝日
19891123,1989-11-23,True,勤労感謝の日,国民の祝日
19891223,1989-12-23,True,天皇誕生日,国民の祝日
19900101,1990-01-01,True,元日,国民の祝日
19900115,1990-01-15,True,成人の日,国民の祝日
19900211,1990-02-11,True,建国記念の日,国民の祝日
19900212,1990-02-12,True,休日,国民の祝日
19900321,1990-03-21,True,春分の日,国民の祝日
19900429,1990-04-29,True,みどりの日,国民の祝日
19900430,1990-04-30,True,休日,国民の祝日
19900503,1990-05-03,True,憲法記念日,国民の祝日
19900504,1990-05-04,True,休日,国民の祝日
19900505,1990-05-05,True,こどもの日,国民の祝日
19900915,1990-09-15,True,敬老の日,国民の祝日
19900923,1990-09-23,True,秋分の日,国民の祝日
19900924,1990-09-24,True,休日,国民の祝日
19901010,1990-10-10,True,体育の日,国民の祝日
19901103,1990-11-03,True,文化の日,国民の祝日
19901112,1990-11-12,True,即位礼正殿の儀,国民の祝日
19901123,1990-11-23,True,勤労感謝の日,国民の祝日
19901223,1990-12-23,True,天皇誕生日,国民の祝日
19901224,1990-12-24,True,休日,国民の祝日
19910101,1991-01-01,True,元日,国民の祝日
19910115,1991-01-15,True,成人の日,国民の祝日
19910211,1991-02-11,True,建国記念の日,国民の祝日
19910321,1991-03-21,True,春分の日,国民の祝日
19910429,1991-04-29,True,みどりの日,国民の祝日
19910503,1991-05-03,True,憲法記念日,国民の祝日
19910504,1991-05-04,True,休日,国民の祝日
19910505,1991-05-05,True,こどもの日,国民の祝日
19910506,1991-05-06,True,休日,国民の祝日
19910915,1991-09-15,True,敬老の日,国民の祝日
19910916,1991-09-16,True,休日,国民の祝日
19910923,1991-09-23,True,秋分の日,国民の祝日
19911010,1991-10-10,True,体育の日,国民の祝日
19911103,1991-11-03,True,文化の日,国民の祝日
19911104,1991-11-04,True,休日,国民の祝日
19911123,1991-11-23,True,勤労感謝の日,国民の祝日
19911223,1991-12-23,True,天皇誕生日,国民の祝日
19920101,1992-01-01,True,元日,国民の祝日
19920115,1992-01-15,True,成人の日,国民の祝日
19920211,1992-02-11,True,建国記念の日,国民の祝日
19920320,1992-03-20,True,春分の日,国民の祝日
19920429,1992-04-29,True,みどりの日,国民の祝日
19920503,1992-05-03,True,憲法記念日,国民の祝日
19920504,1992-05-04,True,休日,国民の祝日
19920505,1992-05-05,True,こどもの日,国民の祝日
19920915,1992-09-15,True,敬老の日,国民の祝日
19920923,1992-09-23,True,秋分の日,国民の祝日
19921010,1992-10-10,True,体育の日,国民の祝日
19921103,1992-11-03,True,文化の日,国民の祝日
19921123,1992-11-23,True,勤労感謝の日,国民の祝日
19921223,1992-12-23,True,天皇誕生日,国民の祝日
19930101,1993-01-01,True,元日,国民の祝日
19930115,1993-01-15,True,成人の日,国民の祝日
19930211,1993-02-11,True,建国記念の日,国民の祝日
19930320,1993-03-20,True,春分の日,国民の祝日
19930429,1993-04-29,True,みどりの日,国民の祝日
19930503,1993-05-03,True,憲法記念日,国民の祝日
19930504,1993-05-04,True,休日,国民の祝日
19930505,1993-05-05,True,こどもの日,国民の祝日
19930609,1993-06-09,True,結婚の儀,国民の祝日
19930915,1993-09-15,True,敬老の日,国民の祝日
19930923,1993-09-23,True,秋分の日,国民の祝日
19931010,1993-10-10,True,体育の日,国民の祝日
19931011,1993-10-11,True,休日,国民の祝日
19931103,1993-11-03,True,文化の日,国民の祝日
19931123,1993-11-23,True,勤労感謝の日,国民の祝日
19931223,1993-12-23,True,天皇誕生日,国民の祝日
19940101,1994-01-01,True,元日,国民の祝日
19940115,1994-01-15,True,成人の日,国民の祝日
19940211,1994-02-11,True,建国記念の日,国民の祝日
